Data Set Property,Sorting Algorithm,Number Of Elements,Trial #1,Trial #2,Trial #3,Trial #4,Trial #5,Trial #6
Random,Quicksort,100,0.0005681514739990234,0.00021600723266601562,0.00018405914306640625,0.00017571449279785156,0.00016307830810546875,0.0001468658447265625
Random,Quicksort,500,0.0011589527130126953,0.0022389888763427734,0.0015289783477783203,0.0015690326690673828,0.0009641647338867188,0.0019011497497558594
Random,Quicksort,1000,0.0024149417877197266,0.0022389888763427734,0.004378795623779297,0.0028328895568847656,0.002279996871948242,0.0023298263549804688
Random,Quicksort,2000,0.005009889602661133,0.004957914352416992,0.004648923873901367,0.004118919372558594,0.00444793701171875,0.004190206527709961
Random,Quicksort,3000,0.006521701812744141,0.006843090057373047,0.00685882568359375,0.006936788558959961,0.007302284240722656,0.00734400749206543
Random,Quicksort,4000,0.010087966918945312,0.009712934494018555,0.008643150329589844,0.009064912796020508,0.010307073593139648,0.008744955062866211
Random,Quicksort,5000,0.011665821075439453,0.013754844665527344,0.011550188064575195,0.012778997421264648,0.013328790664672852,0.012624979019165039
Random,Quicksort,6000,0.01648998260498047,0.016082048416137695,0.017025232315063477,0.015306949615478516,0.01621413230895996,0.017258882522583008
Random,Quicksort,7000,0.01620793342590332,0.021793127059936523,0.019775867462158203,0.01902008056640625,0.018796920776367188,0.01999211311340332
Random,Quicksort,8000,0.02342510223388672,0.018962860107421875,0.02480792999267578,0.022166013717651367,0.020607948303222656,0.02232503890991211
Random,Quicksort,9000,0.027122020721435547,0.0216219425201416,0.026941776275634766,0.026398897171020508,0.026650667190551758,0.027961015701293945
Random,Quicksort,10000,0.030181169509887695,0.02875804901123047,0.03188204765319824,0.03192019462585449,0.024977922439575195,0.027956008911132812
Random,Merge Sort,100,0.0007398128509521484,0.00044798851013183594,0.0006058216094970703,0.00047206878662109375,0.0004017353057861328,0.0003478527069091797
Random,Merge Sort,500,0.0024280548095703125,0.0028340816497802734,0.0019919872283935547,0.0018181800842285156,0.002393960952758789,0.0034208297729492188
Random,Merge Sort,1000,0.00591588020324707,0.008233070373535156,0.007489919662475586,0.005857944488525391,0.003881216049194336,0.003912925720214844
Random,Merge Sort,2000,0.008704185485839844,0.0077610015869140625,0.007667064666748047,0.008163690567016602,0.00799107551574707,0.007108926773071289
Random,Merge Sort,3000,0.011436223983764648,0.012304306030273438,0.012380123138427734,0.013009786605834961,0.01368093490600586,0.012830972671508789
Random,Merge Sort,4000,0.017602920532226562,0.01736927032470703,0.017123937606811523,0.017160892486572266,0.01755499839782715,0.017306089401245117
Random,Merge Sort,5000,0.02061915397644043,0.02314615249633789,0.023308992385864258,0.022919178009033203,0.02430105209350586,0.024073123931884766
Random,Merge Sort,6000,0.029272079467773438,0.02524590492248535,0.02823805809020996,0.027475833892822266,0.029507160186767578,0.0294039249420166
Random,Merge Sort,7000,0.03240799903869629,0.03545403480529785,0.03554105758666992,0.031167030334472656,0.03539681434631348,0.03597593307495117
Random,Merge Sort,8000,0.04177093505859375,0.03821206092834473,0.04254794120788574,0.037650108337402344,0.037481069564819336,0.042222023010253906
Random,Merge Sort,9000,0.04855179786682129,0.049475908279418945,0.04937911033630371,0.04872012138366699,0.04916524887084961,0.04717111587524414
Random,Merge Sort,10000,0.055531978607177734,0.04873800277709961,0.052816152572631836,0.04926800727844238,0.04897785186767578,0.05073690414428711
Random,Insertion Sort,100,0.0009992122650146484,0.0008032321929931641,0.0006401538848876953,0.0007600784301757812,0.0006022453308105469,0.0006220340728759766
Random,Insertion Sort,500,0.020099878311157227,0.01992511749267578,0.013519048690795898,0.012377023696899414,0.01894092559814453,0.017611980438232422
Random,Insertion Sort,1000,0.06613302230834961,0.06389379501342773,0.06906437873840332,0.06926918029785156,0.04892086982727051,0.04316520690917969
